llgname,textdate,subscribers
Nomad Rural,Mar09,0
Nomad Rural,Mar10,0
Nomad Rural,Mar11,1
Nomad Rural,Mar12,0
Nomad Rural,Mar13,0
Nomad Rural,Mar14,2
Nomad Rural,Mar15,0
Nomad Rural,Mar16,3
Nomad Rural,Mar17,2
Nomad Rural,Mar18,2
Nomad Rural,Mar19,3
Nomad Rural,Mar20,1
Nomad Rural,Mar21,1
Nomad Rural,Mar22,0
Nomad Rural,Mar23,1
Nomad Rural,Mar24,2
Nomad Rural,Mar25,1
Nomad Rural,Mar26,1
Nomad Rural,Mar27,1
Poroma Rural,20to25,0
Poroma Rural,Feb26,2
Poroma Rural,Feb27,93
Poroma Rural,Feb28,159
Poroma Rural,Mar01,254
Poroma Rural,Mar02,96
Poroma Rural,Mar03,236
Poroma Rural,Mar04,123
Poroma Rural,Mar05,86
Poroma Rural,Mar06,83
Poroma Rural,Mar07,117
Poroma Rural,Mar08,58
Poroma Rural,Mar09,60
Poroma Rural,Mar10,16
Poroma Rural,Mar11,20
Poroma Rural,Mar12,66
Poroma Rural,Mar13,42
Poroma Rural,Mar14,84
Poroma Rural,Mar15,94
Poroma Rural,Mar16,105
Poroma Rural,Mar17,78
Poroma Rural,Mar18,80
Poroma Rural,Mar19,72
Poroma Rural,Mar20,111
Poroma Rural,Mar21,108
Poroma Rural,Mar22,110
Poroma Rural,Mar23,101
Poroma Rural,Mar24,115
Poroma Rural,Mar25,76
Poroma Rural,Mar26,40
Poroma Rural,Mar27,24
South Wosera Rural,20to25,0
South Wosera Rural,Feb26,0
South Wosera Rural,Feb27,0
South Wosera Rural,Feb28,1
South Wosera Rural,Mar01,0
South Wosera Rural,Mar02,0
South Wosera Rural,Mar03,0
South Wosera Rural,Mar04,0
South Wosera Rural,Mar05,1
South Wosera Rural,Mar06,1
South Wosera Rural,Mar07,0
South Wosera Rural,Mar08,0
South Wosera Rural,Mar09,0
South Wosera Rural,Mar10,0
South Wosera Rural,Mar11,0
South Wosera Rural,Mar12,0
South Wosera Rural,Mar13,0
South Wosera Rural,Mar14,1
South Wosera Rural,Mar15,0
South Wosera Rural,Mar16,0
South Wosera Rural,Mar17,1
South Wosera Rural,Mar18,0
South Wosera Rural,Mar19,0
South Wosera Rural,Mar20,1
South Wosera Rural,Mar21,0
South Wosera Rural,Mar22,0
South Wosera Rural,Mar23,0
South Wosera Rural,Mar24,2
South Wosera Rural,Mar25,0
South Wosera Rural,Mar26,1
South Wosera Rural,Mar27,0
South Koroba Rural,20to25,0
South Koroba Rural,Feb26,0
South Koroba Rural,Feb27,0
South Koroba Rural,Feb28,0
South Koroba Rural,Mar01,56
South Koroba Rural,Mar02,53
South Koroba Rural,Mar03,50
South Koroba Rural,Mar04,51
South Koroba Rural,Mar05,45
South Koroba Rural,Mar06,54
South Koroba Rural,Mar07,34
South Koroba Rural,Mar08,54
South Koroba Rural,Mar09,58
South Koroba Rural,Mar10,55
South Koroba Rural,Mar11,47
South Koroba Rural,Mar12,47
South Koroba Rural,Mar13,50
South Koroba Rural,Mar14,42
South Koroba Rural,Mar15,58
South Koroba Rural,Mar16,63
South Koroba Rural,Mar17,57
South Koroba Rural,Mar18,53
South Koroba Rural,Mar19,47
South Koroba Rural,Mar20,59
South Koroba Rural,Mar21,35
South Koroba Rural,Mar22,49
South Koroba Rural,Mar23,42
South Koroba Rural,Mar24,41
South Koroba Rural,Mar25,39
South Koroba Rural,Mar26,17
South Koroba Rural,Mar27,19
Tari Urban,20to25,0
Tari Urban,Feb26,49
Tari Urban,Feb27,101
Tari Urban,Feb28,249
Tari Urban,Mar01,218
Tari Urban,Mar02,345
Tari Urban,Mar03,367
Tari Urban,Mar04,293
Tari Urban,Mar05,399
Tari Urban,Mar06,437
Tari Urban,Mar07,327
Tari Urban,Mar08,401
Tari Urban,Mar09,440
Tari Urban,Mar10,314
Tari Urban,Mar11,383
Tari Urban,Mar12,411
Tari Urban,Mar13,366
Tari Urban,Mar14,439
Tari Urban,Mar15,382
Tari Urban,Mar16,425
Tari Urban,Mar17,309
Tari Urban,Mar18,324
Tari Urban,Mar19,348
Tari Urban,Mar20,352
Tari Urban,Mar21,340
Tari Urban,Mar22,339
Tari Urban,Mar23,360
Tari Urban,Mar24,309
Tari Urban,Mar25,273
Tari Urban,Mar26,244
Tari Urban,Mar27,152
Tebi Rural,20to25,0
Tebi Rural,Feb26,183
Tebi Rural,Feb27,951
Tebi Rural,Feb28,1121
Tebi Rural,Mar01,738
